,,,,,,,
,Date,2020-08-29,,,,,
,File,E2-A High-Speed Flash,,,,,
,Rev,1,,,,,
,,,,,,,
,,,,,,,
Notes,,,,,,,
,,"Digikey is my preferred vendor (Good prices, cheapest shipping, ships from Winnipeg) but Mouser and others are good as well.  Same with eBay/Alibaba/Bangood.",,,,,
,,"Most components from eBay could be purchased from Digikey, just an increase in cost (but faster shipping!)",,,,,
,,DO NOT purchase LED’s from eBay/Alibaba.  Testing has shown that LED’s from untrustworthy vendors are a lower quality.,,,,,
,,The EMCB1 and ECC0 board components will come pre-installed on the boards if purchased from td0g.,,,,,
,,,,,,,
Part#,Ref,Manufacturer Model,Description,Qty,Suggested Vendor,Vendor Part #,Link
,,,,,,,
15,,BUK9Y43-60E.115,Reverse-Polarity Protection PFET,1,,,
16,,47K 1/8W Res THT,Reverse-Polarity Protection RES,1,,,
17,,M3 x 18mm Socket-Head Screw,Fastener,5,eBay,,
18,,M3 x 16mm Socket-Head Screw,Fastener,1,eBay,,
19,,M3 x 12mm Socket-Head Screw,For LED banks??? Not tested,8,,,
20,,M3 x 10mm Socket-Head Screw,Fastener,6,eBay,,
21,,M3 x 6mm Socket-Head Screw,Battery Holder Screw,1,eBay,,
22,,M2 x 6mm Socket-Head Screw,Fastener,4,eBay,,
23,,M2 x 4mm Socket-Head Screw,,5,,,
24,,22AWG Silicone Wire,Conductor,Roll,eBay,,https://www.ebay.ca/itm/22AWG-Wire-Gauge-Silicone-Stranded-Flexible-Copper-Cable-10-Feet-Fr-RC-Black-Red/302783235558?hash=item467f4985e6&enc=AQADAAADAFjVrDbVsZ8oH%2F8PNHtt9VX4%2Fw7FZcmMuqsX8uaFEduVgzDb50nVfC9bFE4D787h1JAHEN2npfkmB1MGrV1Ajphb7FQYBJozTRU6SlYTBDrAkJohHdp39bSdV7%2BMcZd%2FuRmQx1%2FLPJBPwV1Ue6gZw%2Ftt8fRbGwRGTrYYXwe1NM9sxaGUcyAAY4J1fPanJnsgQmuwziy2bkkFit8ehYgL0YszkXtw7sENIXHfyhbM%2FOAiRb6aKanPRH5ibWfAzQT%2FmJwGHoVRMFqc8FE%2B%2Bcl71ntd01Z8KUQ0bNpWoRMctbaeYZNAyIsVs2pM7CgM9s3Sj%2BhWAy05Ty7D%2FycXRQa9Q0gkC8bVIRvo4sg79LtF1wl4cwvR3Gt9ch6dBR%2BZ%2Fiob9apjhMFAZf832HO4oIOF8dW2zqSQZ1MEQVoFIkWMaX5NGTagZYy67zmt7zkYKQkB2b%2BKWhS4KjMOrxqc9b7P9%2FQyF30S%2FWgcIZVXzhe20w92mxTdRzMJzfJmh1Q%2BzaK5vgJqjLID2uQaOE3QxFd6QG99Rc07z6zABYSgNqQwbxY%2FBCyhNu5BxOgr6LZa2mE3kQPMvYu5zCIvkt0B9%2B56pZvBqH84hBGpYP%2BW%2BiXcrA7Tfefml4K%2BDYAX2aQ11xHdCcs3j2uWlDPE56yaOdQllBZukGC%2FB5RHslUe5gULocaqJubjEJ2Qx6J55HNfNDyqpi5tBVFNaWRwjmod3wyQw%2FMV8vpcq%2FPC8DFnWwT%2BB%2F1CILX9q6hMOPYBOAC%2BXOlswg3EWnqoobVPuMGv6lK7V%2FPj4HVvjHTvtG0Evb4kM7R5Zt%2FRKVHkUGJOfWK1EOlG5jgh9zTmA6fRRAztJT2hAA3G%2BGuXrbPESTHdWU74tgUp9KIYaNz0r71E7uNacs8XRrFKhMhBuOfiVo%2BRgEOBRcIJ1%2B63n1%2FDfgxUL%2B7U%2BJk6BDsdLYqYHUOQhP6UkrBimHB1etpvzDp6bmd6%2FdaHnkKcQzEM5mV9O38vPdBL%2FuVcn2G7NugqCAaHLI%2F9SAUrdA%3D%3D&checksum=30278323555830400dae240d4686aa4764c14ae5e77c 
