Notes,,,,,,,
,"Digikey is my preferred vendor (Good prices, cheapest shipping, ships from Winnipeg) but Mouser and others are good as well.  Same with eBay/Alibaba/Bangood.",,,,,,
,"Most components from eBay could be purchased from Digikey, just an increase in cost (but faster shipping!)",,,,,,
,DO NOT purchase LED’s from eBay/Alibaba.  Testing has shown that LED’s from untrustworthy vendors are a lower quality.,,,,,,
,,,,,,,
Part#,Manufacturer Model,Description,Qty,Suggested Vendor,Vendor Part #,"Price Per (CAD, At time of original manufacture)",Link
9,EC11 Rotary Encoder,Mechanical Encoder,1,eBay,,$1.00,https://www.ebay.ca/itm/Rotary-encoder-with-switch-EC11-Audio-digital-potentiometer-20mm-handle-CA/142486141701?hash=item212cd5fb05:g:2DwAAOSwqhBZn7M2 
10,AA Battery Positive Negative Contact Plate,Battery Contacts,4,eBay,,$0.05,https://www.ebay.ca/itm/AA-Battery-Positive-Negative-Conversion-Spring-Contact-Plate-30-Pcs-N3/122059487728?epid=1153108991&hash=item1c6b4ff9f0&enc=AQADAAAC8FjVrDbVsZ8oH%2F8PNHtt9VX4%2Fw7FZcmMuqsX8uaFEduV0oMiZSmrstBRuJ%2F9dVjpJCBoV9Qkgt2P%2FXNcGfpmU%2Bcl9OLJ6Cqv7xUBHJwdSi7FQ8%2BObEoD%2BxzwDjhHMo%2BeoJFP0kHFMKK0El%2FNivvh0fHmdWjEOWlyCzdD7QVbh%2BHSVGpS9z8V%2BD1wN%2B17%2FsfiznW1zA7sNVhQHeRSj5xjMCXDXCfMqV9eZtDSKCzZJtFq4tw95PRituymioqh7P3p%2BwcfKjimLob4js7qlfwh9dl3T0HPYvIdomGWvT%2FM%2FWkAT7LGJ%2B5OxmgtYdYyPQ4PKnTqvB%2Bh7%2BklRGfmJlq77eimqPhFw61nJcIomNIIxL21kAOzTB26WTsNNYh5qgNq3Mgs2wOs%2FkkaLqgAlREGrVL5%2BwSXYLRhd%2BBsbd3%2Bn6mbE%2BcqrfStNp%2FX8U4Twq9RfgnnnQFgHdPgZFZsnbFuyveFWWbMYw09BmpJBvTaviwNQXWKNDER%2BKFDkH%2FbZdM5nnA9iMBMg2RVbEYuZgJRs9ZyyAW2hbzrsTZtAkltyFCE5Wv3d918MP103yzbmVMTIuUPkA1jGpuUbxqx%2BC1Zg9qrZsPmuVbg8hp2MBHyC6OyBeUVjVOeu9jvdlVHslk53JzDAY3%2Fthr05UnM52xn2EIex%2FfG5XvDaE0oCB5WePJBfD6oVqjZBsRmgjjlkNbdhqM%2FnWDuPTucI6pU0d7HC9%2FSt9Pw5uw06h3Mo3A0tOCmGTyMT%2B5F3tJbC9YsQn%2FC7NsilR5xSimG4gVmHk5y%2BmNGZzaFglZh%2FXwNK7jAImq2xDG6FFSJau6ayO%2Fx7AoZ1bOVFDCmIzTtLOk50Gza%2BQNMobE05gnYwgHs1dLy%2B1QlNa0l%2BAHa7R1QF1FhoZWUP86rcWjUkZqtSP9BYPg2BlSiTUOGfoED8jq4ZX%2B8%2BKL4vy%2BwF7F2KdAdhxqeQHuTEslD3sbQ4RyPD%2B%2FQAdp53va5movVq0Uzy5TR0eezLLB%2F&checksum=1220594877288dfd42d10dab470b833f7f355bf4f2a6 
11,1/4” Dia x 1/8” Thi Rare Earth Magnets,Magnets,4,eBay,,$0.25,https://www.ebay.ca/itm/20-pcs-of-1-4-dia-x-1-8-thick-Neodymium-Rare-Earth-Disc-Magnets/173904398036?hash=item287d8286d4:g:DDcAAOSwZKRbLrXu 
12,Arca-Swiss Plate,Quick-Release Mounting Plate,1,eBay,,$5.00,
13,M5 x 16mm Countersink-Head Screws,Fastener,4,eBay,,,
14,M5 Nuts,Fastener,4,eBay,,,
15,M4 x 20mm Socket-Head Screw,Fastener,6,eBay,,,
16,M3 x 8mm Socket-Head Screw,Fastener,3,eBay,,,
17,M2 x 12mm Socket-Head Screw,Fastener,8,eBay,,,
18,22AWG Silicone Wire,Conductor,1m,eBay,,$1.50,https://www.ebay.ca/itm/22AWG-Wire-Gauge-Silicone-Stranded-Flexible-Copper-Cable-10-Feet-Fr-RC-Black-Red/302783235558?hash=item467f4985e6&enc=AQADAAADAFjVrDbVsZ8oH%2F8PNHtt9VX4%2Fw7FZcmMuqsX8uaFEduVgzDb50nVfC9bFE4D787h1JAHEN2npfkmB1MGrV1Ajphb7FQYBJozTRU6SlYTBDrAkJohHdp39bSdV7%2BMcZd%2FuRmQx1%2FLPJBPwV1Ue6gZw%2Ftt8fRbGwRGTrYYXwe1NM9sxaGUcyAAY4J1fPanJnsgQmuwziy2bkkFit8ehYgL0YszkXtw7sENIXHfyhbM%2FOAiRb6aKanPRH5ibWfAzQT%2FmJwGHoVRMFqc8FE%2B%2Bcl71ntd01Z8KUQ0bNpWoRMctbaeYZNAyIsVs2pM7CgM9s3Sj%2BhWAy05Ty7D%2FycXRQa9Q0gkC8bVIRvo4sg79LtF1wl4cwvR3Gt9ch6dBR%2BZ%2Fiob9apjhMFAZf832HO4oIOF8dW2zqSQZ1MEQVoFIkWMaX5NGTagZYy67zmt7zkYKQkB2b%2BKWhS4KjMOrxqc9b7P9%2FQyF30S%2FWgcIZVXzhe20w92mxTdRzMJzfJmh1Q%2BzaK5vgJqjLID2uQaOE3QxFd6QG99Rc07z6zABYSgNqQwbxY%2FBCyhNu5BxOgr6LZa2mE3kQPMvYu5zCIvkt0B9%2B56pZvBqH84hBGpYP%2BW%2BiXcrA7Tfefml4K%2BDYAX2aQ11xHdCcs3j2uWlDPE56yaOdQllBZukGC%2FB5RHslUe5gULocaqJubjEJ2Qx6J55HNfNDyqpi5tBVFNaWRwjmod3wyQw%2FMV8vpcq%2FPC8DFnWwT%2BB%2F1CILX9q6hMOPYBOAC%2BXOlswg3EWnqoobVPuMGv6lK7V%2FPj4HVvjHTvtG0Evb4kM7R5Zt%2FRKVHkUGJOfWK1EOlG5jgh9zTmA6fRRAztJT2hAA3G%2BGuXrbPESTHdWU74tgUp9KIYaNz0r71E7uNacs8XRrFKhMhBuOfiVo%2BRgEOBRcIJ1%2B63n1%2FDfgxUL%2B7U%2BJk6BDsdLYqYHUOQhP6UkrBimHB1etpvzDp6bmd6%2FdaHnkKcQzEM5mV9O38vPdBL%2FuVcn2G7NugqCAaHLI%2F9SAUrdA%3D%3D&checksum=30278323555830400dae240d4686aa4764c14ae5e77c 
19,"5x7cm PCB Perf Board, Single-Side Tinned",PCB,1,eBay,,$0.16,https://www.ebay.ca/itm/10pcs-DIY-Prototype-Paper-PCB-Universal-Board-5-7-cm-5-7-cm/201414877045?hash=item2ee5431f75:g:bI4AAOSw1x1UOIWh 
20,PETG Filament,Plastic,0.5 kg,spool3d.ca,,$17.00,https://spool3d.ca/filament/petg/1-75-mm/ 
21,4N35 Opto-Isolator,Opto-Isolator,1,eBay,,$0.15,https://www.ebay.ca/itm/10PCS-4n35-DIP6-FSC-Optocouplers-Phototransistor-30V-IC-NEW/181846554467?hash=item2a56e63763:g:P1AAAMXQydtTKoBv 
22,2SJ175 P-Channel MOSFET,P-Channel MOSFET,1,eBay,,$0.50,https://www.ebay.ca/itm/10-PCS-2SJ175-TO-92-J175-Silicon-P-Channel-MOS-FET/122556657110?ssPageName=STRK%3AMEBIDX%3AIT&_trksid=p2057872.m2749.l2649 
23,"2-ohm Metal Film Resistor, 1/4W",LED Series Resistor,4,Digikey,RNF14FTD2R00CT-ND ,$0.20,https://www.digikey.ca/product-detail/en/stackpole-electronics-inc/RNF14FTD2R00/RNF14FTD2R00CT-ND/1974961 
24,28L0138-80R-10 ,"5A Ferrite Bead, 86-ohm@100MHz28L0138-80R-",4,Digikey,240-2513-1-ND ,$0.15,https://www.digikey.ca/product-detail/en/laird-signal-integrity-products/28L0138-80R-10/240-2513-1-ND/1015955 
25,"Assortment of 1/4W Resistors, 1%",Assortment of Resistors,1,eBay,,$3.00,https://www.ebay.ca/itm/300PCS-30-Values-1-4W-1-Metal-Film-Resistors-Resistance-Assortment-Kit-Set-Hot/301936778206?hash=item464cd59bde:g:PY4AAOSw5IJWe5He
26,RDER71E104K0P1H03B ,"100nF Ceramic Capacitor, 10%",1,Digikey,490-8809-ND ,$0.61,https://www.digikey.ca/product-detail/en/murata-electronics-north-america/RDER71E104K0P1H03B/490-8809-ND/4770964
27,FG11X7S1H106KRT06,10uF Ceramic Capacitor,2,Digikey,445-180817-1-ND,$1.74,https://www.digikey.ca/product-detail/en/tdk-corporation/FG11X7S1H106KRT06/445-180817-1-ND/9560943 
28,BAT85S Schottky,Diode,2,eBay,,$0.20,https://www.ebay.ca/itm/100PCS-DIODE-VISHAY-DO-35-BAT85-BAT85S-TR/273089892347?hash=item3f956d0ffb:g:MbYAAOSww3tY34Bd 
29,1N4001,Diode,1,eBay,,$0.01,https://www.ebay.ca/itm/Rectifier-Diodes-10A10-1N4001-1N4007-1N5402-1N5408-1N5399-1N914-1N-series-BBC/142919748646?var=&hash=item2146ae4c26&enc=AQADAAAC8FjVrDbVsZ8oH%2F8PNHtt9VX4%2Fw7FZcmMuqsX8uaFEduVAbiZf%2FZ6Bv4f2VYYodGx31%2BkvfZRE4WNgPmUHVodRnE20UpJwvUqlvuQgphBUtLI38IIRjVNZzavHtagIGGTrvHgyqSg9iHgnZZO9oAzG5B9K6%2Bd149J63Gr1GX21n4gFaeoyBLv7ImzsCPNTF0hKAn8OQWeKeDpTAkR3Zme065ndvqmY%2FLbkIzvAy3rUhaSr173Wqbg8qF%2BHIVuf1g5%2BPcd%2BbqbVb1VmgVgz2H3CtYYlff%2BEmLkx2JMw5%2B%2FNcHisg8yNSQXpBpEt4%2Fq6lKndRGbFCmNLP9NiWnJpC43G9EDv6tyVLIz5dfe0t8zknqMmtLHR%2BgYy6GoOultWamHPaC4pt9jgarqRMYEx2aehSURLkKWVqK%2FyvzK8cmGNxsW7Dk1R8otA%2F0GF6aJUMRAxy6ZcUjeh4scrN5LYdDOFVprt0DDmJxoKrMyZRCHWMiWBC86C90FlCu7Cnzr2OtNrYdLOEROsuQ9mmxYAyMVs3mI5uXSQYkND%2FJQhXoMCq%2BhyFZS5OKvbGPKjdoAng2DrIBQaVy%2ByUq8odl3x1wYRWYTtBXmuPCnOZwtsBd8GYC58WwO0gBCN0W6EEwj19C8%2BRPKJdkjuxuW%2FZIK0oG45nX3LdIYLRztAW2T38SE8vKiLdMjOHfD6blpZj29%2B1uilDLRY%2FWQ%2BJEe9biCEt9%2BPVPPP%2FM4EGxM7BMWQv61t0wvz4Yg1bTxM7ixhg4tT2gqi79J5uLOqFD5ke%2BMA5UKSEWJPS4RT50nLmdyIUrRCP8%2FxQyPSKMQUnqKKOkA8blvtgns%2FoyGI3Z1E3qm7s5v%2FclblA59xyWMZYeToavK3KKgTG1ETJ6CAtDFGj6vFIfbflvBeJp9V9USiAlxbhLpf2d1cjrD00QPwH8EKahhXxfjMfz%2BeTU83A4VrZQ72DvE96zYEXYerrMhyXpIG3sIR72t0UPUd%2FufTKn16Wrm4MDa&checksum=142919748646b37c182dd463404bacfdf3b145c55b0e 
30,4.7V Zener,Zener Diode,1,eBay,,$0.02,https://www.ebay.ca/itm/50Pcs-1-2W-0-5W-Zener-Diode-Diodes-4-3V-3-3V-3-9V-4-7V-5-6V-33V-2V-39V/192098469382?var=&hash=item2cb9f60606&enc=AQADAAAC8FjVrDbVsZ8oH%2F8PNHtt9VX4%2Fw7FZcmMuqsX8uaFEduVcKn0fvGtHXdF6SHDiz3dW%2F5xCQDvZgyC0leGoLLIZEpwne%2BtA5MLGetVj505cGWBYv3YTUKdL8Z1NWcvoIATdumUCINHPWGNrD1B98YJFl2rp9d9pKNeJYRPlCJ17x0OOU4HGfY%2B8UsuvnIJSfPWYNFu0DdA1YF5Kh1Tnl2pbaJiiMXn5%2B0waxVcwg1wiky7%2B9jUUimevVsJbHlx5SEtQ444%2BgIIQRPx7i3diW0e%2F8Bh47DoUYwIjv9jahtCVl7O9exKGtjq1GL2j6hiwmXrYAY6iCHwsHchgPYlwXkO6%2BjSmnWJgfOo5u%2FPP%2FXboh6uRF4zzHsSOiGbbLzDox5XYmpIClv4moZcPLAJZL88mnHx0YJZXwT%2B1%2BMBHs%2BBii3IRXuis0i2541lxRBLEhOoLP4s5Eq5s7RmK097pRipB7oiue0zTY6544bR46l0rgGtqHXf5rph5fivRWK2RV%2FrZcTVlTPLpdWjqPZi0VXjycAOUVWjmWySPa%2Bqz46RkEm1OSLvx8FAeHWWEm6TfmrmWOyLO6Lff6mS3HWA5RUKNtn%2BLHQS1F9F%2FFMA%2F7BC67xV8LuDnLER7C7hDqp6jrouXRmywLt88R8w9KIUxLd3Xw%2BMVQdYkT6vWzkzYQoXJ4OTj6%2FE6rnzo%2BjQnh3X5FKPi2LTtRTDiPBI8KPkDJ1%2FjVW0Z0%2FzIO3OuPIaTMDo%2FDHmsmotOZcB1BdDOTxm7cRQydEavfUz8%2Fco7yemW%2BtJVmtlqW70TPf1Yf09yIrEPzhrSRzVZwxoZHxc7vKjzEgRJtNHdD%2BvD%2FD4VEDRhlcoJPvzNtQG9jKGWuwP9h%2FZw6FrLea%2B1E1rvFSRDbbqGQt%2BsvzFdTJv8nObKUq%2FnIgL0wE9KOjI4T9jlXN8f8gsXfcOXuJbRsWonCdhFW7GyPhCmQ3yxx9fLRUZp7dsxvjawesrn3Eps%2B69O%2BoaUKPhQF9G&checksum=192098469382b8acf1d82596417db5ecc80a31037fe1 
31,200uf 30V Capacitor,Capacitor,1,Digikey,732-8634-1-ND ,$0.31,https://www.digikey.ca/product-detail/en/wurth-electronics-inc/860010473011/732-8634-1-ND/5728590 
32,KCD1-101,Rectangular Power Switch,1,eBay,,$0.30,https://www.ebay.ca/itm/5Pcs-KCD1-101-Red-Rocker-Switch-2-Pin-KCD1-101-250V-6A-Boatlike-Switch-ST/172245048336?hash=item281a9adc10:g:muYAAOSw9NBaWaOO 
33,3.5mm Jack,3.5mm Jack,1,eBay,,$0.25,https://www.ebay.ca/itm/10pcs-3-5mm-Headphone-Audio-Sound-Jack-Socket-Port-Connector-DC-30V-0-5A-PJ322/171907312663?hash=item2806796c17:g:i60AAMXQVT9TFH99 
